class,credit_amount,log_credit_amount,checking_status,duration,credit_history,purpose,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,age_bin,duration_bin,is_rent
1,7758.0,8.95660873889395,0<=X<200,24,critical/other existing credit,used car,>=1000,>=7,2,female div/dep/mar,none,4,no known property,29,none,rent,1,skilled,1,none,yes,26-35,13-24,1
1,6967.0,8.849083518532339,0<=X<200,24,delayed previously,business,100<=X<500,4<=X<7,4,male single,none,4,car,36,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,36-45,13-24,1
2,1282.0,7.1569563646156364,<0,12,existing paid,furniture/equipment,<100,1<=X<4,2,female div/dep/mar,none,4,car,20,none,rent,1,skilled,1,none,yes,18-25,<=12,1
1,1288.0,7.161622002939187,<0,9,critical/other existing credit,repairs,100<=X<500,>=7,3,male single,guarantor,4,real estate,48,none,own,2,skilled,2,none,no,46-60,<=12,0
1,339.0,5.8289456176102075,<0,12,all paid,retraining,<100,>=7,4,male mar/wid,none,1,car,45,bank,own,1,unskilled resident,1,none,yes,36-45,<=12,0
1,3512.0,8.164225652265827,0<=X<200,24,existing paid,new car,100<=X<500,4<=X<7,2,male single,none,3,car,38,bank,own,2,skilled,1,yes,yes,36-45,13-24,0
1,1898.0,7.549082710812286,no checking,6,critical/other existing credit,radio/tv,no known savings,1<=X<4,1,male single,none,2,real estate,34,none,own,2,unskilled resident,2,none,yes,26-35,<=12,0
1,2872.0,7.96311205897929,no checking,24,critical/other existing credit,radio/tv,100<=X<500,>=7,3,male single,none,4,real estate,36,none,own,1,skilled,2,yes,yes,36-45,13-24,0
1,1055.0,6.962243464266207,no checking,18,critical/other existing credit,new car,<100,<1,4,female div/dep/mar,none,1,life insurance,30,none,own,2,skilled,1,none,yes,26-35,13-24,0
1,1262.0,7.141245122350491,no checking,15,existing paid,domestic appliance,500<=X<1000,4<=X<7,4,male single,none,3,life insurance,36,none,own,2,skilled,1,yes,yes,36-45,13-24,0
1,7308.0,8.896861744480391,0<=X<200,10,existing paid,new car,<100,unemployed,2,male single,none,4,no known property,70,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,60+,<=12,0
1,909.0,6.813444599510896,no checking,36,existing paid,new car,500<=X<1000,>=7,4,male single,none,4,life insurance,36,none,own,1,skilled,1,none,yes,36-45,25-36,0
1,2978.0,7.999342952713282,no checking,6,existing paid,furniture/equipment,500<=X<1000,1<=X<4,1,male single,none,2,car,32,none,own,1,skilled,1,yes,yes,26-35,<=12,0
2,1131.0,7.0317412587631285,<0,18,existing paid,furniture/equipment,<100,unemployed,4,female div/dep/mar,none,2,car,33,none,own,1,skilled,1,none,yes,26-35,13-24,0
1,1577.0,7.363913501405819,0<=X<200,11,existing paid,furniture/equipment,>=1000,<1,4,female div/dep/mar,none,1,real estate,20,none,own,1,skilled,1,none,yes,18-25,<=12,0
1,3972.0,8.287276755814599,no checking,24,existing paid,furniture/equipment,<100,4<=X<7,2,female div/dep/mar,none,4,life insurance,25,none,rent,1,skilled,1,yes,yes,18-25,13-24,1
2,1935.0,7.568379267836522,0<=X<200,24,critical/other existing credit,business,<100,>=7,4,male div/sep,none,4,real estate,31,none,own,2,skilled,1,yes,yes,26-35,13-24,0
2,950.0,6.85751406254539,<0,15,no credits/all paid,new car,<100,>=7,4,male single,none,3,car,33,none,rent,2,skilled,2,none,yes,26-35,13-24,1
1,763.0,6.638567789166521,no checking,12,existing paid,furniture/equipment,<100,1<=X<4,4,female div/dep/mar,none,1,real estate,26,none,own,1,skilled,1,yes,yes,26-35,<=12,0
2,2064.0,7.632885505395133,0<=X<200,24,delayed previously,furniture/equipment,<100,unemployed,3,female div/dep/mar,none,2,life insurance,34,none,own,1,high qualif/self emp/mgmt,1,yes,yes,26-35,13-24,0
1,1414.0,7.254884810077338,0<=X<200,8,existing paid,radio/tv,<100,1<=X<4,4,male single,guarantor,2,real estate,33,none,own,1,skilled,1,none,no,26-35,<=12,0
2,3414.0,8.13593277200489,<0,21,delayed previously,education,<100,<1,2,male single,none,1,life insurance,26,none,own,2,skilled,1,none,yes,26-35,13-24,0
2,7485.0,8.920789888464375,no checking,30,all paid,used car,no known savings,unemployed,4,female div/dep/mar,none,1,real estate,53,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,46-60,25-36,0
1,2577.0,7.8547691834991324,<0,12,existing paid,furniture/equipment,<100,1<=X<4,2,male div/sep,none,1,car,42,none,own,1,skilled,1,none,yes,36-45,<=12,0
1,338.0,5.82600010738045,<0,6,critical/other existing credit,radio/tv,500<=X<1000,>=7,4,male single,none,4,car,52,none,own,2,skilled,1,none,yes,46-60,<=12,0
1,1963.0,7.582738488914411,no checking,12,existing paid,radio/tv,<100,4<=X<7,4,male single,none,2,car,31,none,rent,2,high qualif/self emp/mgmt,2,yes,yes,26-35,<=12,1
1,571.0,6.349138991379798,<0,21,critical/other existing credit,new car,<100,>=7,4,male single,none,4,real estate,65,none,own,2,skilled,1,none,yes,60+,13-24,0
2,9572.0,9.166701914946353,no checking,36,delayed previously,business,<100,<1,1,male div/sep,none,1,car,28,none,own,2,skilled,1,none,yes,26-35,25-36,0
2,4455.0,8.40200678160712,0<=X<200,36,delayed previously,business,<100,1<=X<4,2,male div/sep,none,2,real estate,30,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,26-35,25-36,0
2,1647.0,7.4073177104694174,<0,21,all paid,new car,no known savings,1<=X<4,4,male single,none,2,life insurance,40,none,own,2,unskilled resident,2,none,yes,36-45,13-24,0
1,3777.0,8.236950048061455,no checking,24,critical/other existing credit,furniture/equipment,>=1000,1<=X<4,4,male single,none,4,real estate,50,none,own,1,skilled,1,yes,yes,46-60,13-24,0
2,884.0,6.785587645007929,0<=X<200,18,critical/other existing credit,new car,<100,>=7,4,male single,none,4,car,36,bank,own,1,skilled,2,yes,yes,36-45,13-24,0
1,1360.0,7.215975002651466,no checking,15,critical/other existing credit,radio/tv,<100,1<=X<4,4,male single,none,2,life insurance,31,none,own,2,skilled,1,none,yes,26-35,13-24,0
2,5129.0,8.542860938164814,0<=X<200,9,all paid,used car,<100,>=7,2,female div/dep/mar,none,4,no known property,74,bank,for free,1,high qualif/self emp/mgmt,2,yes,yes,60+,<=12,0
1,1175.0,7.069874128458572,0<=X<200,16,critical/other existing credit,new car,<100,unemployed,2,male single,none,3,car,68,none,for free,3,unemp/unskilled non res,1,yes,yes,60+,13-24,0
2,674.0,6.51471269087253,<0,12,existing paid,radio/tv,100<=X<500,4<=X<7,4,male mar/wid,none,1,life insurance,20,none,own,1,skilled,1,none,yes,18-25,<=12,0
1,3244.0,8.08487062913819,0<=X<200,18,no credits/all paid,furniture/equipment,<100,1<=X<4,1,female div/dep/mar,none,4,car,33,bank,own,2,skilled,1,yes,yes,26-35,13-24,0
2,4591.0,8.432070937999402,no checking,24,existing paid,business,>=1000,1<=X<4,2,male single,none,3,life insurance,54,none,own,3,high qualif/self emp/mgmt,1,yes,yes,46-60,13-24,0
2,3844.0,8.254528881939745,0<=X<200,48,no credits/all paid,business,100<=X<500,4<=X<7,4,male single,none,4,no known property,34,none,for free,1,unskilled resident,2,none,yes,26-35,37-60,0
2,3915.0,8.272826003650401,0<=X<200,27,existing paid,business,<100,1<=X<4,4,male single,none,2,car,36,none,own,1,skilled,2,yes,yes,36-45,25-36,0
1,2108.0,7.653969180478774,no checking,6,existing paid,radio/tv,<100,4<=X<7,2,male mar/wid,none,2,real estate,29,none,rent,1,skilled,1,none,yes,26-35,<=12,1
2,3031.0,8.016977746762262,0<=X<200,45,existing paid,radio/tv,100<=X<500,1<=X<4,4,male single,guarantor,4,life insurance,21,none,rent,1,skilled,1,none,yes,18-25,37-60,1
2,1501.0,7.31455283232408,0<=X<200,9,critical/other existing credit,education,<100,>=7,2,female div/dep/mar,none,3,car,34,none,own,2,high qualif/self emp/mgmt,1,yes,yes,26-35,<=12,0
1,1382.0,7.232010331664759,no checking,6,critical/other existing credit,radio/tv,<100,1<=X<4,1,female div/dep/mar,none,1,car,28,none,own,2,skilled,1,yes,yes,26-35,<=12,0
2,951.0,6.858565034791365,0<=X<200,12,existing paid,furniture/equipment,100<=X<500,<1,4,female div/dep/mar,none,4,car,27,bank,rent,4,skilled,1,none,yes,26-35,<=12,1
1,2760.0,7.923348211930154,0<=X<200,24,existing paid,used car,no known savings,>=7,4,male single,none,4,no known property,36,bank,for free,1,skilled,1,yes,yes,36-45,13-24,0
2,4297.0,8.365905077202456,0<=X<200,18,delayed previously,furniture/equipment,<100,>=7,4,male div/sep,none,3,no known property,40,none,own,1,high qualif/self emp/mgmt,1,yes,yes,36-45,13-24,0
1,936.0,6.842683282238422,no checking,9,critical/other existing credit,education,500<=X<1000,>=7,4,male single,none,2,car,52,none,own,2,skilled,1,yes,yes,46-60,<=12,0
1,1168.0,7.063903961472068,<0,12,existing paid,new car,<100,1<=X<4,4,male mar/wid,none,3,real estate,27,none,own,1,unskilled resident,1,none,yes,26-35,<=12,0
1,5117.0,8.540519016719735,no checking,27,delayed previously,business,<100,4<=X<7,3,male single,none,4,car,26,none,own,2,skilled,1,none,yes,26-35,25-36,0
2,902.0,6.805722553416985,<0,12,existing paid,retraining,<100,4<=X<7,4,male mar/wid,none,4,life insurance,21,none,rent,1,skilled,1,none,yes,18-25,<=12,1
1,1495.0,7.310550158534422,no checking,12,critical/other existing credit,new car,<100,>=7,4,male single,none,1,real estate,38,none,own,2,unskilled resident,2,none,yes,36-45,<=12,0
1,10623.0,9.270870871716214,<0,30,critical/other existing credit,used car,<100,>=7,3,male single,none,4,no known property,38,none,for free,3,high qualif/self emp/mgmt,2,yes,yes,36-45,25-36,0
1,1935.0,7.568379267836522,no checking,12,critical/other existing credit,furniture/equipment,<100,>=7,4,male single,none,4,real estate,43,none,own,3,skilled,1,yes,yes,36-45,<=12,0
1,1424.0,7.261927092702751,0<=X<200,12,critical/other existing credit,domestic appliance,<100,4<=X<7,4,male single,none,3,life insurance,26,none,own,1,skilled,1,none,yes,26-35,<=12,0
1,6568.0,8.790116892892472,<0,24,existing paid,business,<100,1<=X<4,2,male mar/wid,none,2,car,21,stores,own,1,unskilled resident,1,none,yes,18-25,13-24,0
1,1413.0,7.254177846456518,no checking,12,existing paid,used car,>=1000,4<=X<7,3,male single,none,2,life insurance,55,none,own,1,skilled,1,none,no,46-60,<=12,0
1,3074.0,8.031060180240619,no checking,9,critical/other existing credit,radio/tv,no known savings,1<=X<4,1,male single,none,2,real estate,33,none,own,2,skilled,2,none,yes,26-35,<=12,0
1,3835.0,8.252185436003328,no checking,36,existing paid,radio/tv,no known savings,>=7,2,female div/dep/mar,none,4,real estate,45,none,own,1,unskilled resident,1,yes,yes,36-45,25-36,0
2,5293.0,8.574329382787047,<0,27,no credits/all paid,business,<100,unemployed,2,male single,none,4,life insurance,50,stores,own,2,skilled,1,yes,yes,46-60,25-36,0
2,1908.0,7.554334823725748,>=200,30,delayed previously,business,<100,>=7,4,male single,none,4,real estate,66,none,own,1,high qualif/self emp/mgmt,1,yes,yes,60+,25-36,0
1,3342.0,8.114623886420098,no checking,36,critical/other existing credit,radio/tv,no known savings,>=7,4,male single,none,2,car,51,none,own,1,skilled,1,yes,yes,46-60,25-36,0
1,932.0,6.838405200847344,0<=X<200,6,critical/other existing credit,retraining,no known savings,4<=X<7,1,female div/dep/mar,none,3,life insurance,39,none,own,2,unskilled resident,1,none,yes,36-45,<=12,0
1,3104.0,8.040768994367578,<0,18,no credits/all paid,business,<100,4<=X<7,3,male single,none,1,life insurance,31,bank,own,1,skilled,1,yes,yes,26-35,13-24,0
1,3913.0,8.272315147956022,>=200,36,existing paid,radio/tv,<100,1<=X<4,2,male single,none,2,real estate,23,none,own,1,skilled,1,yes,yes,18-25,25-36,0
1,3021.0,8.013674142832684,<0,24,existing paid,furniture/equipment,<100,1<=X<4,2,male div/sep,none,2,real estate,24,none,rent,1,unskilled resident,1,none,yes,18-25,13-24,1
1,1364.0,7.21890970761906,no checking,10,existing paid,new car,<100,1<=X<4,2,female div/dep/mar,none,4,car,64,none,own,1,skilled,1,yes,yes,60+,<=12,0
1,625.0,6.439350371100098,0<=X<200,12,existing paid,radio/tv,<100,<1,4,male mar/wid,guarantor,1,real estate,26,bank,own,1,unskilled resident,1,none,yes,26-35,<=12,0
1,1200.0,7.0909098220799835,<0,12,existing paid,education,no known savings,1<=X<4,4,female div/dep/mar,none,4,life insurance,23,bank,rent,1,skilled,1,yes,yes,18-25,<=12,1
1,707.0,6.56244409369372,no checking,12,existing paid,radio/tv,<100,1<=X<4,4,male single,none,2,real estate,30,bank,own,2,skilled,1,none,yes,26-35,<=12,0
1,2978.0,7.999342952713282,no checking,24,delayed previously,business,no known savings,1<=X<4,4,male single,none,4,real estate,32,none,own,2,skilled,2,yes,yes,26-35,13-24,0
1,4657.0,8.446341450444287,no checking,15,existing paid,used car,<100,1<=X<4,3,male single,none,2,car,30,none,own,1,skilled,1,yes,yes,26-35,13-24,0
1,2613.0,7.868636894184167,no checking,36,no credits/all paid,repairs,<100,1<=X<4,4,male single,none,2,car,27,none,own,2,skilled,1,none,yes,26-35,25-36,0
2,10961.0,9.302190025606063,0<=X<200,48,existing paid,radio/tv,>=1000,4<=X<7,1,male single,co applicant,2,no known property,27,bank,own,2,skilled,1,yes,yes,26-35,37-60,0
2,7865.0,8.970304952991755,<0,12,existing paid,furniture/equipment,<100,>=7,4,male single,none,4,no known property,53,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,46-60,<=12,0
2,1478.0,7.2991214627108,no checking,9,existing paid,radio/tv,<100,4<=X<7,4,male single,none,2,car,22,none,own,1,skilled,1,none,yes,18-25,<=12,0
1,3149.0,8.055157731819678,<0,24,existing paid,furniture/equipment,<100,<1,4,male single,none,1,no known property,22,bank,for free,1,skilled,1,none,yes,18-25,13-24,0
2,4210.0,8.345455428161928,>=200,36,existing paid,radio/tv,<100,1<=X<4,4,male single,none,2,car,26,none,own,1,skilled,1,none,yes,26-35,25-36,0
1,2507.0,7.827240901752812,no checking,9,existing paid,new car,500<=X<1000,>=7,2,male single,none,4,no known property,51,none,for free,1,unskilled resident,1,none,yes,46-60,<=12,0
1,2141.0,7.669495251007694,no checking,12,existing paid,radio/tv,100<=X<500,4<=X<7,3,male single,none,1,no known property,35,none,own,1,skilled,1,none,yes,26-35,<=12,0
1,866.0,6.7650389767805414,0<=X<200,18,existing paid,radio/tv,<100,1<=X<4,4,male mar/wid,guarantor,2,real estate,25,none,own,1,unskilled resident,1,none,yes,18-25,13-24,0
1,1544.0,7.3427791893318455,no checking,4,critical/other existing credit,radio/tv,<100,4<=X<7,2,male single,none,1,real estate,42,none,own,3,unskilled resident,2,none,yes,36-45,<=12,0
2,1823.0,7.508787170634276,<0,24,existing paid,radio/tv,<100,unemployed,4,male single,none,2,car,30,stores,own,1,high qualif/self emp/mgmt,2,none,yes,26-35,13-24,0
2,14555.0,9.585758558732051,0<=X<200,6,existing paid,new car,no known savings,unemployed,1,male single,none,2,life insurance,23,none,own,1,unemp/unskilled non res,1,yes,yes,18-25,<=12,0
2,2767.0,7.92588031673756,0<=X<200,21,existing paid,business,100<=X<500,>=7,4,male div/sep,none,2,car,61,bank,rent,2,unskilled resident,1,none,yes,60+,13-24,1
1,1291.0,7.163946684342547,no checking,12,critical/other existing credit,radio/tv,<100,1<=X<4,4,female div/dep/mar,none,2,life insurance,35,none,own,2,skilled,1,none,yes,26-35,<=12,0
1,2522.0,7.833203948641057,<0,30,existing paid,radio/tv,<100,>=7,1,male single,guarantor,3,life insurance,39,none,own,1,skilled,2,none,yes,36-45,25-36,0
2,915.0,6.82001636467413,<0,24,existing paid,new car,no known savings,>=7,4,female div/dep/mar,none,2,car,29,bank,own,1,skilled,1,none,yes,26-35,13-24,0
1,1595.0,7.3752557780097545,no checking,6,existing paid,radio/tv,<100,4<=X<7,3,male single,none,2,life insurance,51,none,own,1,skilled,2,none,yes,46-60,<=12,0
2,4605.0,8.43511508038063,<0,48,no credits/all paid,used car,<100,>=7,3,male single,none,4,no known property,24,none,for free,2,skilled,2,none,yes,18-25,37-60,0
1,1185.0,7.078341579557671,no checking,12,critical/other existing credit,business,<100,1<=X<4,3,female div/dep/mar,none,2,real estate,27,none,own,2,skilled,1,none,yes,26-35,<=12,0
1,3447.0,8.145549631783584,no checking,12,all paid,retraining,500<=X<1000,1<=X<4,4,female div/dep/mar,none,3,real estate,35,none,own,1,unskilled resident,2,none,yes,26-35,<=12,0
1,1258.0,7.138073034044347,no checking,24,existing paid,business,<100,4<=X<7,4,male single,none,1,real estate,25,none,own,1,skilled,1,yes,yes,18-25,13-24,0
1,717.0,6.576469569048224,no checking,12,critical/other existing credit,radio/tv,<100,>=7,4,male single,none,4,real estate,52,none,own,3,skilled,1,none,yes,46-60,<=12,0
1,1204.0,7.094234845924755,no checking,6,no credits/all paid,new car,100<=X<500,1<=X<4,4,male single,none,1,no known property,35,bank,rent,1,skilled,1,none,no,26-35,<=12,1
1,1925.0,7.563200592358071,>=200,24,existing paid,furniture/equipment,<100,1<=X<4,2,male single,none,2,real estate,26,none,own,1,skilled,1,none,yes,26-35,13-24,0
2,433.0,6.073044534100405,no checking,18,existing paid,radio/tv,<100,unemployed,3,female div/dep/mar,co applicant,4,real estate,22,none,rent,1,skilled,1,none,yes,18-25,13-24,1
1,666.0,6.502790045915623,<0,6,critical/other existing credit,new car,>=1000,4<=X<7,3,female div/dep/mar,none,4,real estate,39,none,own,2,unskilled resident,1,yes,yes,36-45,<=12,0
1,2251.0,7.719573989259581,>=200,12,existing paid,furniture/equipment,<100,1<=X<4,1,female div/dep/mar,none,2,car,46,none,own,1,unskilled resident,1,none,yes,46-60,<=12,0
2,2150.0,7.67368812926773,0<=X<200,30,existing paid,new car,<100,1<=X<4,4,female div/dep/mar,guarantor,2,no known property,24,bank,own,1,skilled,1,none,yes,18-25,25-36,0
1,4151.0,8.331345424845724,no checking,24,delayed previously,furniture/equipment,100<=X<500,1<=X<4,2,male single,none,3,life insurance,35,none,own,2,skilled,1,none,yes,26-35,13-24,0
1,2030.0,7.616283561580385,0<=X<200,9,existing paid,furniture/equipment,no known savings,4<=X<7,2,male single,none,1,car,24,none,own,1,skilled,1,yes,yes,18-25,<=12,0
1,7418.0,8.911799556189527,0<=X<200,60,delayed previously,radio/tv,no known savings,1<=X<4,1,male single,none,1,real estate,27,none,own,1,unskilled resident,1,none,yes,26-35,37-60,0
1,2684.0,7.895436006942965,no checking,24,critical/other existing credit,radio/tv,<100,1<=X<4,4,male single,none,2,real estate,35,none,own,2,unskilled resident,1,none,yes,26-35,13-24,0
2,2149.0,7.673223121121708,<0,12,all paid,radio/tv,<100,1<=X<4,4,male div/sep,none,1,no known property,29,none,for free,1,skilled,1,none,yes,26-35,<=12,0
1,3812.0,8.246171559857563,no checking,15,existing paid,used car,100<=X<500,<1,1,female div/dep/mar,none,4,car,23,none,own,1,skilled,1,yes,yes,18-25,13-24,0
1,1154.0,7.051855622955894,no checking,11,critical/other existing credit,radio/tv,100<=X<500,unemployed,4,female div/dep/mar,none,4,real estate,57,none,own,3,unskilled resident,1,none,yes,46-60,<=12,0
1,1657.0,7.4133673356952405,<0,12,existing paid,furniture/equipment,<100,1<=X<4,2,male single,none,2,real estate,27,none,own,1,skilled,1,none,yes,26-35,<=12,0
1,1603.0,7.38025578842646,<0,24,existing paid,radio/tv,<100,>=7,4,female div/dep/mar,none,4,car,55,none,own,1,skilled,1,none,yes,46-60,13-24,0
1,5302.0,8.57602797713713,<0,18,critical/other existing credit,new car,<100,>=7,2,male single,none,4,no known property,36,none,for free,3,high qualif/self emp/mgmt,1,yes,yes,36-45,13-24,0
1,2748.0,7.918992488165245,no checking,12,critical/other existing credit,education,<100,>=7,2,female div/dep/mar,none,4,no known property,57,bank,for free,3,unskilled resident,1,none,yes,46-60,<=12,0
1,1231.0,7.116394144093465,no checking,10,critical/other existing credit,new car,<100,>=7,3,male single,none,4,real estate,32,none,own,2,unskilled resident,2,none,no,26-35,<=12,0
2,802.0,6.688354713946762,0<=X<200,15,existing paid,radio/tv,<100,>=7,4,male single,none,3,car,37,none,own,1,skilled,2,none,yes,36-45,13-24,0
1,6304.0,8.74909824839902,no checking,36,critical/other existing credit,business,no known savings,>=7,4,male single,none,4,real estate,36,none,own,2,skilled,1,none,yes,36-45,25-36,0
1,1533.0,7.335633981927201,no checking,24,existing paid,radio/tv,<100,<1,4,female div/dep/mar,none,3,car,38,stores,own,1,skilled,1,yes,yes,36-45,13-24,0
2,8978.0,9.102643796520809,<0,14,existing paid,new car,<100,>=7,1,male div/sep,none,4,life insurance,45,none,own,1,high qualif/self emp/mgmt,1,yes,no,36-45,13-24,0
1,999.0,6.907755278982137,no checking,24,existing paid,radio/tv,no known savings,>=7,4,male single,none,2,car,25,none,own,2,skilled,1,none,yes,18-25,13-24,0
1,2662.0,7.887208585813932,no checking,18,existing paid,new car,no known savings,4<=X<7,4,male single,none,3,life insurance,32,none,own,1,skilled,1,none,no,26-35,13-24,0
1,1402.0,7.246368080102461,no checking,12,critical/other existing credit,furniture/equipment,500<=X<1000,4<=X<7,3,female div/dep/mar,none,4,car,37,none,rent,1,skilled,1,yes,yes,36-45,<=12,1
1,12169.0,9.406729185981574,0<=X<200,48,all paid,new car,no known savings,unemployed,4,male single,co applicant,4,no known property,36,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,36-45,37-60,0
2,3060.0,8.026496938945412,0<=X<200,48,existing paid,radio/tv,<100,4<=X<7,4,male single,none,4,real estate,28,none,own,2,skilled,1,none,yes,26-35,37-60,0
2,11998.0,9.392578591964389,<0,30,existing paid,repairs,<100,<1,1,male div/sep,none,1,no known property,34,none,own,1,unskilled resident,1,yes,yes,26-35,25-36,0
1,2697.0,7.900266036767701,no checking,9,existing paid,radio/tv,<100,1<=X<4,1,male single,none,2,real estate,32,none,own,1,skilled,2,none,yes,26-35,<=12,0
1,2404.0,7.785305182539862,no checking,18,critical/other existing credit,radio/tv,<100,1<=X<4,2,female div/dep/mar,none,2,car,26,none,own,2,skilled,1,none,yes,26-35,13-24,0
1,1262.0,7.141245122350491,<0,12,existing paid,furniture/equipment,no known savings,>=7,2,male div/sep,none,4,life insurance,49,none,own,1,unskilled resident,1,yes,yes,46-60,<=12,0
2,4611.0,8.436416881388949,no checking,6,existing paid,furniture/equipment,<100,<1,1,female div/dep/mar,none,4,life insurance,32,none,own,1,skilled,1,none,yes,26-35,<=12,0
1,1901.0,7.550661243105336,no checking,24,existing paid,radio/tv,100<=X<500,1<=X<4,4,male single,none,4,car,29,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,26-35,13-24,1
1,3368.0,8.122371243406553,no checking,15,critical/other existing credit,used car,>=1000,>=7,3,male single,none,4,no known property,23,none,rent,2,skilled,1,yes,yes,18-25,13-24,1
1,1574.0,7.362010551259734,no checking,12,existing paid,furniture/equipment,<100,1<=X<4,4,male single,none,2,real estate,50,none,own,1,skilled,1,none,yes,46-60,<=12,0
1,1445.0,7.27655640271871,>=200,18,all paid,radio/tv,no known savings,4<=X<7,4,male single,none,4,car,49,bank,own,1,unskilled resident,1,none,yes,46-60,13-24,0
1,1520.0,7.327123292259293,no checking,15,critical/other existing credit,furniture/equipment,no known savings,>=7,4,male single,none,4,life insurance,63,none,own,1,skilled,1,none,yes,60+,13-24,0
1,3878.0,8.263332667439967,0<=X<200,24,critical/other existing credit,new car,100<=X<500,<1,4,male div/sep,none,2,car,37,none,own,1,skilled,1,yes,yes,36-45,13-24,0
1,10722.0,9.280146246220145,<0,47,existing paid,new car,<100,<1,1,female div/dep/mar,none,1,real estate,35,none,own,1,unskilled resident,1,yes,yes,26-35,37-60,0
1,4788.0,8.47407690034261,<0,48,existing paid,used car,<100,4<=X<7,4,male single,none,3,life insurance,26,none,own,1,skilled,2,none,yes,26-35,37-60,0
1,7582.0,8.933664178700935,0<=X<200,48,delayed previously,other,100<=X<500,unemployed,2,male single,none,4,no known property,31,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,26-35,37-60,0
1,1092.0,6.996681488176539,0<=X<200,12,existing paid,radio/tv,<100,1<=X<4,4,female div/dep/mar,guarantor,4,real estate,49,none,own,2,skilled,1,yes,yes,46-60,<=12,0
2,1024.0,6.932447891572509,<0,24,delayed previously,radio/tv,<100,<1,4,male mar/wid,none,4,real estate,48,stores,own,1,skilled,1,none,yes,46-60,13-24,0
1,1076.0,6.981934677156389,no checking,12,existing paid,business,<100,1<=X<4,2,male mar/wid,none,2,real estate,26,none,own,1,skilled,1,yes,no,26-35,<=12,0
2,9398.0,9.148358579620302,0<=X<200,36,existing paid,used car,<100,<1,1,male mar/wid,none,4,car,28,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,26-35,25-36,1
1,6419.0,8.767173396684006,<0,24,critical/other existing credit,used car,<100,>=7,2,female div/dep/mar,none,4,no known property,44,none,for free,2,high qualif/self emp/mgmt,2,yes,yes,36-45,13-24,0
1,4796.0,8.475746001502063,>=200,42,critical/other existing credit,used car,<100,>=7,4,male single,none,4,no known property,56,none,for free,1,skilled,1,none,yes,46-60,37-60,0
1,7629.0,8.939843124278502,no checking,48,critical/other existing credit,business,no known savings,>=7,4,male div/sep,none,2,car,46,bank,own,2,high qualif/self emp/mgmt,2,none,yes,46-60,37-60,0
2,9960.0,9.206432747145165,0<=X<200,48,existing paid,furniture/equipment,<100,<1,1,female div/dep/mar,none,2,car,26,none,own,1,skilled,1,yes,yes,26-35,37-60,0
1,4675.0,8.450198322591959,no checking,12,existing paid,used car,no known savings,<1,1,female div/dep/mar,none,4,car,20,none,rent,1,skilled,1,none,yes,18-25,<=12,1
1,1287.0,7.160845906664299,no checking,10,existing paid,new car,no known savings,>=7,4,male single,co applicant,2,life insurance,45,none,own,1,unskilled resident,1,none,no,36-45,<=12,0
1,2515.0,7.830425617820331,no checking,18,existing paid,furniture/equipment,<100,1<=X<4,3,male single,none,4,real estate,43,none,own,1,skilled,1,yes,yes,36-45,13-24,0
1,2745.0,7.917900586327916,0<=X<200,21,critical/other existing credit,furniture/equipment,>=1000,4<=X<7,3,male single,none,2,car,32,none,own,2,skilled,1,yes,yes,26-35,13-24,0
1,672.0,6.511745329644728,no checking,6,existing paid,new car,<100,unemployed,1,female div/dep/mar,none,4,real estate,54,none,own,1,unemp/unskilled non res,1,yes,yes,46-60,<=12,0
2,3804.0,8.244071270295786,0<=X<200,36,no credits/all paid,radio/tv,<100,1<=X<4,4,female div/dep/mar,none,1,car,42,none,own,1,skilled,1,yes,yes,36-45,25-36,0
2,1344.0,7.20414929203594,>=200,24,critical/other existing credit,new car,no known savings,4<=X<7,4,male single,none,2,real estate,37,bank,own,2,unskilled resident,2,none,yes,36-45,13-24,0
1,1038.0,6.946013991099227,<0,10,critical/other existing credit,new car,<100,4<=X<7,4,male single,co applicant,3,life insurance,49,none,own,2,skilled,1,yes,yes,46-60,<=12,0
2,10127.0,9.223059144383958,no checking,48,critical/other existing credit,new car,500<=X<1000,1<=X<4,2,male single,none,2,no known property,44,bank,for free,1,skilled,1,none,yes,36-45,37-60,0
1,1543.0,7.342131730584722,no checking,6,existing paid,furniture/equipment,>=1000,1<=X<4,4,male div/sep,none,2,real estate,33,none,own,1,skilled,1,none,yes,26-35,<=12,0
1,4811.0,8.47886807709457,no checking,30,existing paid,used car,no known savings,4<=X<7,2,female div/dep/mar,none,4,life insurance,24,stores,rent,1,unskilled resident,1,none,yes,18-25,25-36,1
2,727.0,6.590301048196686,<0,12,existing paid,radio/tv,100<=X<500,<1,4,male mar/wid,none,3,no known property,33,none,own,1,unskilled resident,1,yes,yes,26-35,<=12,0
