class,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,credit_per_month,age_bin,duration_bin,is_rent,credit_per_age
1,>=200,24,existing paid,furniture/equipment,1925.0,<100,1<=X<4,2,male single,none,2,real estate,26,none,own,1,skilled,1,none,yes,80.20833333333333,26-35,13-24,0,74.03846153846153
2,no checking,18,existing paid,radio/tv,433.0,<100,unemployed,3,female div/dep/mar,co applicant,4,real estate,22,none,rent,1,skilled,1,none,yes,24.055555555555557,18-25,13-24,1,19.681818181818183
1,<0,6,critical/other existing credit,new car,666.0,>=1000,4<=X<7,3,female div/dep/mar,none,4,real estate,39,none,own,2,unskilled resident,1,yes,yes,111.0,36-45,<=12,0,17.076923076923077
1,>=200,12,existing paid,furniture/equipment,2251.0,<100,1<=X<4,1,female div/dep/mar,none,2,car,46,none,own,1,unskilled resident,1,none,yes,187.58333333333334,46-60,<=12,0,48.93478260869565
2,0<=X<200,30,existing paid,new car,2150.0,<100,1<=X<4,4,female div/dep/mar,guarantor,2,no known property,24,bank,own,1,skilled,1,none,yes,71.66666666666667,18-25,25-36,0,89.58333333333333
1,no checking,24,delayed previously,furniture/equipment,4151.0,100<=X<500,1<=X<4,2,male single,none,3,life insurance,35,none,own,2,skilled,1,none,yes,172.95833333333334,26-35,13-24,0,118.6
1,0<=X<200,9,existing paid,furniture/equipment,2030.0,no known savings,4<=X<7,2,male single,none,1,car,24,none,own,1,skilled,1,yes,yes,225.55555555555554,18-25,<=12,0,84.58333333333333
1,0<=X<200,60,delayed previously,radio/tv,7418.0,no known savings,1<=X<4,1,male single,none,1,real estate,27,none,own,1,unskilled resident,1,none,yes,123.63333333333334,26-35,37-60,0,274.74074074074076
1,no checking,24,critical/other existing credit,radio/tv,2684.0,<100,1<=X<4,4,male single,none,2,real estate,35,none,own,2,unskilled resident,1,none,yes,111.83333333333333,26-35,13-24,0,76.68571428571428
2,<0,12,all paid,radio/tv,2149.0,<100,1<=X<4,4,male div/sep,none,1,no known property,29,none,for free,1,skilled,1,none,yes,179.08333333333334,26-35,<=12,0,74.10344827586206
1,no checking,15,existing paid,used car,3812.0,100<=X<500,<1,1,female div/dep/mar,none,4,car,23,none,own,1,skilled,1,yes,yes,254.13333333333333,18-25,13-24,0,165.7391304347826
1,no checking,11,critical/other existing credit,radio/tv,1154.0,100<=X<500,unemployed,4,female div/dep/mar,none,4,real estate,57,none,own,3,unskilled resident,1,none,yes,104.9090909090909,46-60,<=12,0,20.24561403508772
1,<0,12,existing paid,furniture/equipment,1657.0,<100,1<=X<4,2,male single,none,2,real estate,27,none,own,1,skilled,1,none,yes,138.08333333333334,26-35,<=12,0,61.370370370370374
1,<0,24,existing paid,radio/tv,1603.0,<100,>=7,4,female div/dep/mar,none,4,car,55,none,own,1,skilled,1,none,yes,66.79166666666667,46-60,13-24,0,29.145454545454545
1,<0,18,critical/other existing credit,new car,5302.0,<100,>=7,2,male single,none,4,no known property,36,none,for free,3,high qualif/self emp/mgmt,1,yes,yes,294.55555555555554,36-45,13-24,0,147.27777777777777
1,no checking,12,critical/other existing credit,education,2748.0,<100,>=7,2,female div/dep/mar,none,4,no known property,57,bank,for free,3,unskilled resident,1,none,yes,229.0,46-60,<=12,0,48.21052631578947
1,no checking,10,critical/other existing credit,new car,1231.0,<100,>=7,3,male single,none,4,real estate,32,none,own,2,unskilled resident,2,none,no,123.1,26-35,<=12,0,38.46875
2,0<=X<200,15,existing paid,radio/tv,802.0,<100,>=7,4,male single,none,3,car,37,none,own,1,skilled,2,none,yes,53.46666666666667,36-45,13-24,0,21.675675675675677
1,no checking,36,critical/other existing credit,business,6304.0,no known savings,>=7,4,male single,none,4,real estate,36,none,own,2,skilled,1,none,yes,175.11111111111111,36-45,25-36,0,175.11111111111111
1,no checking,24,existing paid,radio/tv,1533.0,<100,<1,4,female div/dep/mar,none,3,car,38,stores,own,1,skilled,1,yes,yes,63.875,36-45,13-24,0,40.3421052631579
2,<0,14,existing paid,new car,8978.0,<100,>=7,1,male div/sep,none,4,life insurance,45,none,own,1,high qualif/self emp/mgmt,1,yes,no,641.2857142857143,36-45,13-24,0,199.51111111111112
1,no checking,24,existing paid,radio/tv,999.0,no known savings,>=7,4,male single,none,2,car,25,none,own,2,skilled,1,none,yes,41.625,18-25,13-24,0,39.96
1,no checking,18,existing paid,new car,2662.0,no known savings,4<=X<7,4,male single,none,3,life insurance,32,none,own,1,skilled,1,none,no,147.88888888888889,26-35,13-24,0,83.1875
1,no checking,12,critical/other existing credit,furniture/equipment,1402.0,500<=X<1000,4<=X<7,3,female div/dep/mar,none,4,car,37,none,rent,1,skilled,1,yes,yes,116.83333333333333,36-45,<=12,1,37.891891891891895
1,0<=X<200,48,all paid,new car,12169.0,no known savings,unemployed,4,male single,co applicant,4,no known property,36,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,253.52083333333334,36-45,37-60,0,338.02777777777777
2,0<=X<200,48,existing paid,radio/tv,3060.0,<100,4<=X<7,4,male single,none,4,real estate,28,none,own,2,skilled,1,none,yes,63.75,26-35,37-60,0,109.28571428571429
2,<0,30,existing paid,repairs,11998.0,<100,<1,1,male div/sep,none,1,no known property,34,none,own,1,unskilled resident,1,yes,yes,399.93333333333334,26-35,25-36,0,352.88235294117646
1,no checking,9,existing paid,radio/tv,2697.0,<100,1<=X<4,1,male single,none,2,real estate,32,none,own,1,skilled,2,none,yes,299.6666666666667,26-35,<=12,0,84.28125
1,no checking,18,critical/other existing credit,radio/tv,2404.0,<100,1<=X<4,2,female div/dep/mar,none,2,car,26,none,own,2,skilled,1,none,yes,133.55555555555554,26-35,13-24,0,92.46153846153847
1,<0,12,existing paid,furniture/equipment,1262.0,no known savings,>=7,2,male div/sep,none,4,life insurance,49,none,own,1,unskilled resident,1,yes,yes,105.16666666666667,46-60,<=12,0,25.755102040816325
2,no checking,6,existing paid,furniture/equipment,4611.0,<100,<1,1,female div/dep/mar,none,4,life insurance,32,none,own,1,skilled,1,none,yes,768.5,26-35,<=12,0,144.09375
1,no checking,24,existing paid,radio/tv,1901.0,100<=X<500,1<=X<4,4,male single,none,4,car,29,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,79.20833333333333,26-35,13-24,1,65.55172413793103
1,no checking,15,critical/other existing credit,used car,3368.0,>=1000,>=7,3,male single,none,4,no known property,23,none,rent,2,skilled,1,yes,yes,224.53333333333333,18-25,13-24,1,146.43478260869566
1,no checking,12,existing paid,furniture/equipment,1574.0,<100,1<=X<4,4,male single,none,2,real estate,50,none,own,1,skilled,1,none,yes,131.16666666666666,46-60,<=12,0,31.48
1,>=200,18,all paid,radio/tv,1445.0,no known savings,4<=X<7,4,male single,none,4,car,49,bank,own,1,unskilled resident,1,none,yes,80.27777777777777,46-60,13-24,0,29.489795918367346
1,no checking,15,critical/other existing credit,furniture/equipment,1520.0,no known savings,>=7,4,male single,none,4,life insurance,63,none,own,1,skilled,1,none,yes,101.33333333333333,60+,13-24,0,24.126984126984127
1,0<=X<200,24,critical/other existing credit,new car,3878.0,100<=X<500,<1,4,male div/sep,none,2,car,37,none,own,1,skilled,1,yes,yes,161.58333333333334,36-45,13-24,0,104.8108108108108
1,<0,47,existing paid,new car,10722.0,<100,<1,1,female div/dep/mar,none,1,real estate,35,none,own,1,unskilled resident,1,yes,yes,228.12765957446808,26-35,37-60,0,306.34285714285716
1,<0,48,existing paid,used car,4788.0,<100,4<=X<7,4,male single,none,3,life insurance,26,none,own,1,skilled,2,none,yes,99.75,26-35,37-60,0,184.15384615384616
1,0<=X<200,48,delayed previously,other,7582.0,100<=X<500,unemployed,2,male single,none,4,no known property,31,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,157.95833333333334,26-35,37-60,0,244.58064516129033
1,0<=X<200,12,existing paid,radio/tv,1092.0,<100,1<=X<4,4,female div/dep/mar,guarantor,4,real estate,49,none,own,2,skilled,1,yes,yes,91.0,46-60,<=12,0,22.285714285714285
2,<0,24,delayed previously,radio/tv,1024.0,<100,<1,4,male mar/wid,none,4,real estate,48,stores,own,1,skilled,1,none,yes,42.666666666666664,46-60,13-24,0,21.333333333333332
1,no checking,12,existing paid,business,1076.0,<100,1<=X<4,2,male mar/wid,none,2,real estate,26,none,own,1,skilled,1,yes,no,89.66666666666667,26-35,<=12,0,41.38461538461539
2,0<=X<200,36,existing paid,used car,9398.0,<100,<1,1,male mar/wid,none,4,car,28,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,261.05555555555554,26-35,25-36,1,335.64285714285717
1,<0,24,critical/other existing credit,used car,6419.0,<100,>=7,2,female div/dep/mar,none,4,no known property,44,none,for free,2,high qualif/self emp/mgmt,2,yes,yes,267.4583333333333,36-45,13-24,0,145.88636363636363
1,>=200,42,critical/other existing credit,used car,4796.0,<100,>=7,4,male single,none,4,no known property,56,none,for free,1,skilled,1,none,yes,114.19047619047619,46-60,37-60,0,85.64285714285714
1,no checking,48,critical/other existing credit,business,7629.0,no known savings,>=7,4,male div/sep,none,2,car,46,bank,own,2,high qualif/self emp/mgmt,2,none,yes,158.9375,46-60,37-60,0,165.84782608695653
2,0<=X<200,48,existing paid,furniture/equipment,9960.0,<100,<1,1,female div/dep/mar,none,2,car,26,none,own,1,skilled,1,yes,yes,207.5,26-35,37-60,0,383.0769230769231
1,no checking,12,existing paid,used car,4675.0,no known savings,<1,1,female div/dep/mar,none,4,car,20,none,rent,1,skilled,1,none,yes,389.5833333333333,18-25,<=12,1,233.75
1,no checking,10,existing paid,new car,1287.0,no known savings,>=7,4,male single,co applicant,2,life insurance,45,none,own,1,unskilled resident,1,none,no,128.7,36-45,<=12,0,28.6
1,no checking,18,existing paid,furniture/equipment,2515.0,<100,1<=X<4,3,male single,none,4,real estate,43,none,own,1,skilled,1,yes,yes,139.72222222222223,36-45,13-24,0,58.48837209302326
1,0<=X<200,21,critical/other existing credit,furniture/equipment,2745.0,>=1000,4<=X<7,3,male single,none,2,car,32,none,own,2,skilled,1,yes,yes,130.71428571428572,26-35,13-24,0,85.78125
1,no checking,6,existing paid,new car,672.0,<100,unemployed,1,female div/dep/mar,none,4,real estate,54,none,own,1,unemp/unskilled non res,1,yes,yes,112.0,46-60,<=12,0,12.444444444444445
2,0<=X<200,36,no credits/all paid,radio/tv,3804.0,<100,1<=X<4,4,female div/dep/mar,none,1,car,42,none,own,1,skilled,1,yes,yes,105.66666666666667,36-45,25-36,0,90.57142857142857
2,>=200,24,critical/other existing credit,new car,1344.0,no known savings,4<=X<7,4,male single,none,2,real estate,37,bank,own,2,unskilled resident,2,none,yes,56.0,36-45,13-24,0,36.32432432432432
1,<0,10,critical/other existing credit,new car,1038.0,<100,4<=X<7,4,male single,co applicant,3,life insurance,49,none,own,2,skilled,1,yes,yes,103.8,46-60,<=12,0,21.183673469387756
2,no checking,48,critical/other existing credit,new car,10127.0,500<=X<1000,1<=X<4,2,male single,none,2,no known property,44,bank,for free,1,skilled,1,none,yes,210.97916666666666,36-45,37-60,0,230.1590909090909
1,no checking,6,existing paid,furniture/equipment,1543.0,>=1000,1<=X<4,4,male div/sep,none,2,real estate,33,none,own,1,skilled,1,none,yes,257.1666666666667,26-35,<=12,0,46.75757575757576
1,no checking,30,existing paid,used car,4811.0,no known savings,4<=X<7,2,female div/dep/mar,none,4,life insurance,24,stores,rent,1,unskilled resident,1,none,yes,160.36666666666667,18-25,25-36,1,200.45833333333334
2,<0,12,existing paid,radio/tv,727.0,100<=X<500,<1,4,male mar/wid,none,3,no known property,33,none,own,1,unskilled resident,1,yes,yes,60.583333333333336,26-35,<=12,0,22.03030303030303
2,0<=X<200,8,existing paid,furniture/equipment,1237.0,<100,1<=X<4,3,female div/dep/mar,none,4,real estate,24,none,own,1,skilled,1,none,yes,154.625,18-25,<=12,0,51.541666666666664
1,0<=X<200,9,existing paid,new car,276.0,<100,1<=X<4,4,male mar/wid,none,4,real estate,22,none,rent,1,unskilled resident,1,none,yes,30.666666666666668,18-25,<=12,1,12.545454545454545
1,0<=X<200,48,existing paid,other,5381.0,no known savings,unemployed,3,male single,none,4,no known property,40,bank,for free,1,unemp/unskilled non res,1,yes,yes,112.10416666666667,36-45,37-60,0,134.525
1,no checking,24,existing paid,furniture/equipment,5511.0,100<=X<500,1<=X<4,4,male single,none,1,car,25,stores,own,1,skilled,1,none,yes,229.625,18-25,13-24,0,220.44
1,>=200,24,existing paid,furniture/equipment,3749.0,<100,<1,2,female div/dep/mar,none,4,car,26,none,own,1,skilled,1,none,yes,156.20833333333334,26-35,13-24,0,144.19230769230768
2,0<=X<200,12,existing paid,new car,685.0,<100,4<=X<7,2,male mar/wid,none,3,car,25,bank,own,1,unskilled resident,1,none,yes,57.083333333333336,18-25,<=12,0,27.4
1,>=200,4,existing paid,new car,1494.0,no known savings,<1,1,male single,none,2,real estate,29,none,own,1,unskilled resident,2,none,no,373.5,26-35,<=12,0,51.51724137931034
2,<0,36,all paid,furniture/equipment,2746.0,<100,>=7,4,male single,none,4,car,31,bank,own,1,skilled,1,none,yes,76.27777777777777,26-35,25-36,0,88.58064516129032
1,<0,12,existing paid,furniture/equipment,708.0,<100,1<=X<4,2,male single,guarantor,3,life insurance,38,none,own,1,unskilled resident,2,none,yes,59.0,36-45,<=12,0,18.63157894736842
1,0<=X<200,24,existing paid,furniture/equipment,4351.0,no known savings,1<=X<4,1,female div/dep/mar,none,4,life insurance,48,none,own,1,unskilled resident,1,yes,yes,181.29166666666666,46-60,13-24,0,90.64583333333333
1,no checking,12,critical/other existing credit,education,701.0,<100,1<=X<4,4,male single,none,2,car,32,none,own,2,skilled,1,none,yes,58.416666666666664,26-35,<=12,0,21.90625
1,<0,15,delayed previously,furniture/equipment,3643.0,<100,>=7,1,female div/dep/mar,none,4,life insurance,27,none,own,2,unskilled resident,1,none,yes,242.86666666666667,26-35,13-24,0,134.92592592592592
2,0<=X<200,30,critical/other existing credit,new car,4249.0,<100,unemployed,4,male mar/wid,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,none,yes,141.63333333333333,26-35,25-36,0,151.75
2,<0,24,existing paid,radio/tv,1938.0,<100,<1,4,male div/sep,none,3,life insurance,32,none,own,1,skilled,1,none,yes,80.75,26-35,13-24,0,60.5625
1,<0,24,existing paid,used car,2910.0,<100,4<=X<7,2,male single,none,1,no known property,34,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,121.25,26-35,13-24,0,85.58823529411765
1,<0,18,existing paid,furniture/equipment,2659.0,>=1000,1<=X<4,4,male single,none,2,car,28,none,own,1,skilled,1,none,yes,147.72222222222223,26-35,13-24,0,94.96428571428571
1,no checking,18,critical/other existing credit,new car,1028.0,<100,1<=X<4,4,female div/dep/mar,none,3,real estate,36,none,own,2,skilled,1,none,yes,57.111111111111114,36-45,13-24,0,28.555555555555557
1,<0,8,critical/other existing credit,new car,3398.0,<100,4<=X<7,1,male single,none,4,real estate,39,none,own,2,unskilled resident,1,none,no,424.75,36-45,<=12,0,87.12820512820512
1,no checking,12,critical/other existing credit,furniture/equipment,5801.0,no known savings,>=7,2,male single,none,4,life insurance,49,none,rent,1,skilled,1,yes,yes,483.4166666666667,46-60,<=12,1,118.38775510204081
1,no checking,24,existing paid,new car,1525.0,>=1000,4<=X<7,4,female div/dep/mar,none,3,car,34,none,own,1,skilled,2,yes,yes,63.541666666666664,26-35,13-24,0,44.85294117647059
1,>=200,36,existing paid,radio/tv,4473.0,<100,>=7,4,male single,none,2,car,31,none,own,1,skilled,1,none,yes,124.25,26-35,25-36,0,144.29032258064515
1,0<=X<200,6,existing paid,radio/tv,1068.0,<100,>=7,4,male single,none,4,car,28,none,own,1,skilled,2,none,yes,178.0,26-35,<=12,0,38.142857142857146
1,<0,24,critical/other existing credit,used car,6615.0,<100,unemployed,2,male single,none,4,no known property,75,none,for free,2,high qualif/self emp/mgmt,1,yes,yes,275.625,60+,13-24,0,88.2
2,no checking,18,critical/other existing credit,education,1864.0,100<=X<500,1<=X<4,4,female div/dep/mar,none,2,real estate,30,none,own,2,skilled,1,none,yes,103.55555555555556,26-35,13-24,0,62.13333333333333
2,0<=X<200,60,existing paid,new car,7408.0,100<=X<500,<1,4,female div/dep/mar,none,2,life insurance,24,none,own,1,high qualif/self emp/mgmt,1,none,yes,123.46666666666667,18-25,37-60,0,308.6666666666667
2,no checking,48,critical/other existing credit,used car,11590.0,100<=X<500,1<=X<4,2,female div/dep/mar,none,4,car,24,bank,rent,2,unskilled resident,1,none,yes,241.45833333333334,18-25,37-60,1,482.9166666666667
2,<0,24,no credits/all paid,furniture/equipment,4110.0,<100,>=7,3,male single,none,4,no known property,23,bank,rent,2,skilled,2,none,yes,171.25,18-25,13-24,1,178.69565217391303
2,<0,6,critical/other existing credit,furniture/equipment,3384.0,<100,1<=X<4,1,male div/sep,none,4,real estate,44,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,564.0,36-45,<=12,1,76.9090909090909
1,0<=X<200,13,existing paid,radio/tv,2101.0,<100,<1,2,female div/dep/mar,guarantor,4,life insurance,23,none,own,1,unskilled resident,1,none,yes,161.6153846153846,18-25,13-24,0,91.34782608695652
2,<0,15,existing paid,domestic appliance,1275.0,no known savings,1<=X<4,4,female div/dep/mar,none,2,car,24,none,rent,1,skilled,1,none,yes,85.0,18-25,13-24,1,53.125
1,<0,24,existing paid,furniture/equipment,4169.0,<100,1<=X<4,4,male single,none,4,life insurance,28,none,own,1,skilled,1,none,yes,173.70833333333334,26-35,13-24,0,148.89285714285714
1,0<=X<200,10,existing paid,furniture/equipment,1521.0,<100,1<=X<4,4,male div/sep,none,2,car,31,none,own,1,unskilled resident,1,none,yes,152.1,26-35,<=12,0,49.064516129032256
1,0<=X<200,24,critical/other existing credit,education,5743.0,<100,<1,2,female div/dep/mar,none,4,no known property,24,none,for free,2,skilled,1,yes,yes,239.29166666666666,18-25,13-24,0,239.29166666666666
1,<0,21,existing paid,furniture/equipment,3599.0,<100,4<=X<7,1,female div/dep/mar,none,4,car,26,none,rent,1,unskilled resident,1,none,yes,171.38095238095238,26-35,13-24,1,138.42307692307693
1,0<=X<200,18,existing paid,radio/tv,3213.0,500<=X<1000,<1,1,male mar/wid,none,3,real estate,25,none,rent,1,skilled,1,none,yes,178.5,18-25,13-24,1,128.52
1,0<=X<200,18,existing paid,business,4439.0,<100,>=7,1,male single,co applicant,1,real estate,33,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,246.61111111111111,26-35,13-24,0,134.5151515151515
1,>=200,10,existing paid,new car,3949.0,<100,<1,1,male single,guarantor,1,life insurance,37,none,own,1,unskilled resident,2,none,yes,394.9,36-45,<=12,0,106.72972972972973
1,no checking,15,critical/other existing credit,radio/tv,1459.0,<100,1<=X<4,4,female div/dep/mar,none,2,car,43,none,own,1,unskilled resident,1,none,yes,97.26666666666667,36-45,13-24,0,33.93023255813954
1,0<=X<200,13,critical/other existing credit,radio/tv,882.0,<100,<1,4,male single,guarantor,4,real estate,23,none,own,2,skilled,1,none,yes,67.84615384615384,18-25,13-24,0,38.34782608695652
1,0<=X<200,24,existing paid,radio/tv,3758.0,500<=X<1000,unemployed,1,female div/dep/mar,none,4,no known property,23,none,rent,1,unemp/unskilled non res,1,none,yes,156.58333333333334,18-25,13-24,1,163.3913043478261
1,no checking,6,delayed previously,business,1743.0,100<=X<500,1<=X<4,1,male single,none,2,real estate,34,none,own,2,unskilled resident,1,none,yes,290.5,26-35,<=12,0,51.26470588235294
2,0<=X<200,9,critical/other existing credit,education,1136.0,>=1000,>=7,4,male single,none,3,no known property,32,none,for free,2,skilled,2,none,yes,126.22222222222223,26-35,<=12,0,35.5
1,no checking,9,existing paid,domestic appliance,1236.0,<100,<1,1,female div/dep/mar,none,4,real estate,23,none,rent,1,skilled,1,yes,yes,137.33333333333334,18-25,<=12,1,53.73913043478261
2,0<=X<200,9,existing paid,furniture/equipment,959.0,<100,1<=X<4,1,female div/dep/mar,none,2,car,29,none,own,1,skilled,1,none,no,106.55555555555556,26-35,<=12,0,33.06896551724138
1,no checking,18,critical/other existing credit,used car,3229.0,no known savings,unemployed,2,male single,none,4,no known property,38,none,own,1,high qualif/self emp/mgmt,1,yes,yes,179.38888888888889,36-45,13-24,0,84.97368421052632
2,<0,12,no credits/all paid,radio/tv,6199.0,<100,1<=X<4,4,male single,none,2,life insurance,28,none,rent,2,skilled,1,yes,yes,516.5833333333334,26-35,<=12,1,221.39285714285714
1,no checking,10,existing paid,education,727.0,500<=X<1000,>=7,4,male single,none,4,no known property,46,none,for free,1,skilled,1,yes,yes,72.7,46-60,<=12,0,15.804347826086957
2,0<=X<200,24,existing paid,new car,1246.0,<100,<1,4,male single,none,2,real estate,23,stores,own,1,unskilled resident,1,none,yes,51.916666666666664,18-25,13-24,0,54.17391304347826
1,no checking,12,critical/other existing credit,radio/tv,2331.0,no known savings,>=7,1,male single,co applicant,4,real estate,49,none,own,1,skilled,1,yes,yes,194.25,46-60,<=12,0,47.57142857142857
2,no checking,36,delayed previously,radio/tv,4463.0,<100,1<=X<4,4,male single,none,2,car,26,none,own,2,high qualif/self emp/mgmt,1,yes,yes,123.97222222222223,26-35,25-36,0,171.65384615384616
1,no checking,12,existing paid,radio/tv,776.0,<100,1<=X<4,4,male mar/wid,none,2,real estate,28,none,own,1,skilled,1,none,yes,64.66666666666667,26-35,<=12,0,27.714285714285715
2,<0,30,existing paid,furniture/equipment,2406.0,<100,4<=X<7,4,female div/dep/mar,none,4,real estate,23,none,rent,1,skilled,1,none,yes,80.2,18-25,25-36,1,104.6086956521739
1,0<=X<200,18,existing paid,education,1239.0,no known savings,1<=X<4,4,male single,none,4,no known property,61,none,for free,1,skilled,1,none,yes,68.83333333333333,60+,13-24,0,20.311475409836067
1,>=200,12,existing paid,radio/tv,3399.0,no known savings,>=7,2,male single,none,3,car,37,none,own,1,high qualif/self emp/mgmt,1,none,yes,283.25,36-45,<=12,0,91.86486486486487
1,>=200,12,delayed previously,new car,2247.0,<100,1<=X<4,2,female div/dep/mar,none,2,car,36,stores,own,2,skilled,1,yes,yes,187.25,36-45,<=12,0,62.416666666666664
1,no checking,6,existing paid,furniture/equipment,1766.0,<100,1<=X<4,1,male mar/wid,none,2,life insurance,21,none,rent,1,skilled,1,none,yes,294.3333333333333,18-25,<=12,1,84.0952380952381
2,<0,18,existing paid,furniture/equipment,2473.0,<100,unemployed,4,male single,none,1,car,25,none,own,1,unemp/unskilled non res,1,none,yes,137.38888888888889,18-25,13-24,0,98.92
1,no checking,12,existing paid,business,1542.0,<100,4<=X<7,2,male single,none,4,car,36,none,own,1,skilled,1,yes,yes,128.5,36-45,<=12,0,42.833333333333336
1,no checking,18,critical/other existing credit,used car,3850.0,<100,4<=X<7,3,male single,none,1,car,27,none,own,2,skilled,1,none,yes,213.88888888888889,26-35,13-24,0,142.59259259259258
1,<0,18,existing paid,furniture/equipment,3650.0,<100,<1,1,female div/dep/mar,none,4,car,22,none,rent,1,skilled,1,none,yes,202.77777777777777,18-25,13-24,1,165.9090909090909
2,<0,36,existing paid,furniture/equipment,3446.0,<100,>=7,4,male single,none,2,car,42,none,own,1,skilled,2,none,yes,95.72222222222223,36-45,25-36,0,82.04761904761905
1,0<=X<200,18,existing paid,furniture/equipment,3001.0,<100,4<=X<7,2,female div/dep/mar,none,4,real estate,40,none,rent,1,skilled,1,none,yes,166.72222222222223,36-45,13-24,1,75.025
1,no checking,36,existing paid,new car,3079.0,no known savings,1<=X<4,4,male single,none,4,real estate,36,none,own,1,skilled,1,none,yes,85.52777777777777,36-45,25-36,0,85.52777777777777
1,no checking,18,critical/other existing credit,radio/tv,6070.0,<100,>=7,3,male single,none,4,car,33,none,own,2,skilled,1,yes,yes,337.22222222222223,26-35,13-24,0,183.93939393939394
1,no checking,10,critical/other existing credit,furniture/equipment,2146.0,<100,<1,1,female div/dep/mar,none,3,real estate,23,none,rent,2,skilled,1,none,yes,214.6,18-25,<=12,1,93.30434782608695
1,no checking,60,critical/other existing credit,new car,13756.0,no known savings,>=7,2,male single,none,4,no known property,63,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,229.26666666666668,60+,37-60,0,218.34920634920636
2,0<=X<200,60,all paid,other,14782.0,100<=X<500,>=7,3,female div/dep/mar,none,4,no known property,60,bank,for free,2,high qualif/self emp/mgmt,1,yes,yes,246.36666666666667,46-60,37-60,0,246.36666666666667
2,<0,48,all paid,business,7685.0,<100,4<=X<7,2,female div/dep/mar,guarantor,4,car,37,none,rent,1,skilled,1,none,yes,160.10416666666666,36-45,37-60,1,207.7027027027027
1,no checking,18,delayed previously,radio/tv,2320.0,<100,unemployed,2,male mar/wid,none,3,real estate,34,none,own,2,skilled,1,none,yes,128.88888888888889,26-35,13-24,0,68.23529411764706
1,no checking,7,delayed previously,radio/tv,846.0,no known savings,>=7,3,male single,none,4,no known property,36,none,for free,1,skilled,1,none,yes,120.85714285714286,36-45,<=12,0,23.5
2,0<=X<200,36,existing paid,new car,14318.0,<100,>=7,4,male single,none,2,no known property,57,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,397.72222222222223,46-60,25-36,0,251.19298245614036
1,no checking,6,critical/other existing credit,new car,362.0,100<=X<500,1<=X<4,4,female div/dep/mar,none,4,car,52,none,own,2,unskilled resident,1,none,yes,60.333333333333336,46-60,<=12,0,6.961538461538462
1,<0,20,existing paid,furniture/equipment,2212.0,no known savings,4<=X<7,4,male single,none,4,car,39,none,own,1,skilled,1,yes,yes,110.6,36-45,13-24,0,56.717948717948715
2,0<=X<200,18,existing paid,used car,12976.0,<100,unemployed,3,female div/dep/mar,none,4,no known property,38,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,720.8888888888889,36-45,13-24,0,341.4736842105263
1,no checking,22,existing paid,new car,1283.0,no known savings,4<=X<7,4,female div/dep/mar,none,4,life insurance,25,none,rent,1,skilled,1,none,yes,58.31818181818182,18-25,13-24,1,51.32
1,>=200,12,existing paid,new car,1330.0,<100,<1,4,male single,none,1,real estate,26,none,own,1,skilled,1,none,yes,110.83333333333333,26-35,<=12,0,51.15384615384615
1,no checking,30,delayed previously,business,4272.0,100<=X<500,1<=X<4,2,male single,none,2,life insurance,26,none,own,2,unskilled resident,1,none,yes,142.4,26-35,25-36,0,164.30769230769232
1,no checking,18,critical/other existing credit,radio/tv,2238.0,<100,1<=X<4,2,female div/dep/mar,none,1,car,25,none,own,2,skilled,1,none,yes,124.33333333333333,18-25,13-24,0,89.52
1,no checking,18,existing paid,radio/tv,1126.0,no known savings,<1,4,female div/dep/mar,none,2,real estate,21,none,rent,1,skilled,1,yes,yes,62.55555555555556,18-25,13-24,1,53.61904761904762
1,0<=X<200,18,critical/other existing credit,furniture/equipment,7374.0,<100,unemployed,4,male single,none,4,life insurance,40,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,409.6666666666667,36-45,13-24,0,184.35
1,0<=X<200,15,critical/other existing credit,business,2326.0,500<=X<1000,1<=X<4,2,male single,none,4,car,27,bank,own,1,skilled,1,none,yes,155.06666666666666,26-35,13-24,0,86.14814814814815
1,no checking,9,existing paid,business,1449.0,<100,4<=X<7,3,female div/dep/mar,none,2,car,27,none,own,2,skilled,1,none,yes,161.0,26-35,<=12,0,53.666666666666664
1,no checking,18,existing paid,new car,1820.0,<100,1<=X<4,2,male mar/wid,none,2,life insurance,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,101.11111111111111,26-35,13-24,0,60.666666666666664
1,0<=X<200,12,existing paid,furniture/equipment,983.0,>=1000,<1,1,female div/dep/mar,none,4,real estate,19,none,rent,1,unskilled resident,1,none,yes,81.91666666666667,18-25,<=12,1,51.73684210526316
