"class","checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","credit_per_month","age_bin","duration_bin","is_rent","credit_per_age"
"1",1,"21",3,4,"3763",4,1,"2",3,0,"2",3,"24",1,1,"1",3,"1",0,0,179.1904761904762,0,0,"0",156.79166666666666
"2",1,"24",3,3,"2359",0,4,"1",1,2,"1",1,"33",1,1,"1",1,"1",0,1,98.29166666666669,1,0,"0",71.48484848484848
"1",3,"18",1,3,"1817",2,0,"4",0,2,"2",2,"28",1,1,"2",1,"1",0,1,100.94444444444444,1,0,"0",64.89285714285714
"1",3,"48",2,6,"12749",1,1,"4",3,2,"1",0,"37",1,1,"1",0,"1",1,1,265.6041666666667,2,2,"0",344.56756756756755
"1",1,"18",1,3,"1049",2,2,"4",0,2,"4",1,"21",1,2,"1",1,"1",0,1,58.27777777777778,0,0,"1",49.95238095238095
"1",3,"30",3,6,"1867",4,3,"4",3,2,"4",0,"58",1,1,"1",1,"1",1,1,62.233333333333334,3,1,"0",32.189655172413794
"2",0,"9",3,6,"1670",2,2,"4",0,2,"2",0,"22",1,1,"1",1,"1",1,1,185.55555555555551,0,4,"0",75.9090909090909
"1",3,"12",1,6,"522",1,3,"4",3,2,"4",1,"42",1,1,"2",1,"2",1,1,43.5,2,4,"0",12.428571428571429
"1",3,"12",3,4,"3527",4,2,"2",3,2,"3",1,"45",1,1,"1",0,"2",1,1,293.9166666666667,2,4,"0",78.37777777777778
"2",0,"24",3,9,"4113",1,2,"3",0,2,"4",0,"28",1,2,"1",1,"1",0,1,171.375,1,0,"1",146.89285714285714
"2",3,"36",3,3,"10974",2,4,"4",0,2,"2",0,"26",1,1,"2",0,"1",1,1,304.8333333333333,1,1,"0",422.0769230769231
"1",3,"15",3,4,"3556",4,0,"3",3,2,"2",2,"29",1,1,"1",1,"1",0,1,237.06666666666663,1,0,"0",122.6206896551724
"2",3,"24",3,6,"2397",1,3,"3",3,2,"2",0,"35",0,1,"2",1,"1",1,1,99.875,1,0,"0",68.48571428571428
"1",0,"30",3,6,"1715",4,0,"4",0,2,"1",0,"26",1,1,"1",1,"1",0,1,57.166666666666664,1,1,"0",65.96153846153847
"1",3,"42",3,6,"7166",4,1,"2",2,2,"4",1,"29",1,2,"1",1,"1",1,1,170.61904761904762,1,2,"1",247.1034482758621
"2",1,"60",3,0,"7297",2,3,"4",3,0,"4",2,"36",1,2,"1",1,"1",0,1,121.61666666666666,2,2,"1",202.69444444444449
"1",0,"6",3,6,"753",2,0,"2",0,1,"3",3,"64",1,1,"1",1,"1",0,1,125.5,4,4,"0",11.765625
"2",3,"24",2,4,"2538",2,3,"4",3,2,"4",0,"47",1,1,"2",3,"2",0,1,105.75,3,0,"0",54.0
"1",2,"21",3,4,"2923",0,0,"1",0,2,"1",0,"28",0,1,"1",0,"1",1,1,139.1904761904762,1,0,"0",104.39285714285714
"2",1,"36",3,9,"8229",2,0,"2",3,2,"2",1,"26",1,1,"1",1,"2",0,1,228.58333333333337,1,1,"0",316.5
"1",3,"15",0,6,"1569",0,3,"4",3,2,"4",0,"34",0,1,"1",3,"2",0,1,104.6,1,0,"0",46.14705882352941
"2",1,"45",3,6,"1845",2,0,"4",3,2,"4",2,"23",1,0,"1",1,"1",1,1,41.0,0,2,"0",80.21739130434783
